instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,season_label,weather_label,weather_group,weekday_name,month_name,date_hour,year,temp_c,feels_like_c,humidity_pct,windspeed_kph,casual_share,is_weekend,is_rush_hour,is_commute_window,day_type,hour_band,temp_band,weather_severity,feels_temp_gap,hour_sin,hour_cos,month_sin,month_cos
31,2011-01-02,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1,Winter,Mist / Cloudy,Cloudy / mist,Sunday,Jan,2011-01-02 07:00:00,2011,16.400000000000002,20.455000000000002,76.0,12.998000000000001,0.0,1,1,1,Weekend / holiday,Morning commute,Mild (10-20C),2,0.009099999999999997,0.9659258262890683,-0.25881904510252063,0.0,1.0
32,2011-01-02,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,Winter,Light rain or snow,Precipitation,Sunday,Jan,2011-01-02 08:00:00,2011,16.400000000000002,20.455000000000002,71.0,15.001299999999999,0.0,1,1,1,Weekend / holiday,Morning commute,Mild (10-20C),3,0.009099999999999997,0.8660254037844387,-0.4999999999999998,0.0,1.0
33,2011-01-02,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,Winter,Mist / Cloudy,Cloudy / mist,Sunday,Jan,2011-01-02 09:00:00,2011,15.58,19.695,76.0,15.001299999999999,0.05,1,1,1,Weekend / holiday,Morning commute,Mild (10-20C),2,0.013899999999999968,0.7071067811865476,-0.7071067811865475,0.0,1.0
34,2011-01-02,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,Winter,Mist / Cloudy,Cloudy / mist,Sunday,Jan,2011-01-02 10:00:00,2011,14.76,17.424999999999997,81.0,15.001299999999999,0.1320754716981132,1,0,0,Weekend / holiday,Midday,Mild (10-20C),2,-0.01150000000000001,0.49999999999999994,-0.8660254037844387,0.0,1.0
35,2011-01-02,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,Winter,Mist / Cloudy,Cloudy / mist,Sunday,Jan,2011-01-02 11:00:00,2011,14.76,16.665,71.0,16.997899999999998,0.22857142857142856,1,0,0,Weekend / holiday,Midday,Mild (10-20C),2,-0.0267,0.258819045102521,-0.9659258262890682,0.0,1.0
36,2011-01-02,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,Winter,Mist / Cloudy,Cloudy / mist,Sunday,Jan,2011-01-02 12:00:00,2011,14.76,16.665,66.0,19.999499999999998,0.21505376344086022,1,0,0,Weekend / holiday,Midday,Mild (10-20C),2,-0.0267,1.2246467991473532e-16,-1.0,0.0,1.0
37,2011-01-02,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,Winter,Mist / Cloudy,Cloudy / mist,Sunday,Jan,2011-01-02 13:00:00,2011,14.76,17.424999999999997,66.0,8.9981,0.14666666666666667,1,0,0,Weekend / holiday,Midday,Mild (10-20C),2,-0.01150000000000001,-0.2588190451025208,-0.9659258262890683,0.0,1.0
38,2011-01-02,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59,Winter,Light rain or snow,Precipitation,Sunday,Jan,2011-01-02 14:00:00,2011,14.76,17.424999999999997,76.0,12.998000000000001,0.06779661016949153,1,0,0,Weekend / holiday,Midday,Mild (10-20C),3,-0.01150000000000001,-0.4999999999999997,-0.8660254037844388,0.0,1.0
39,2011-01-02,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,Winter,Light rain or snow,Precipitation,Sunday,Jan,2011-01-02 15:00:00,2011,13.940000000000001,16.665,81.0,11.0014,0.25675675675675674,1,0,0,Weekend / holiday,Midday,Mild (10-20C),3,-0.006700000000000039,-0.7071067811865471,-0.7071067811865479,0.0,1.0
40,2011-01-02,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,Winter,Light rain or snow,Precipitation,Sunday,Jan,2011-01-02 16:00:00,2011,13.940000000000001,16.665,71.0,11.0014,0.11842105263157894,1,1,1,Weekend / holiday,Evening commute,Mild (10-20C),3,-0.006700000000000039,-0.8660254037844385,-0.5000000000000004,0.0,1.0
41,2011-01-02,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65,Winter,Clear / Few clouds,Clear,Sunday,Jan,2011-01-02 17:00:00,2011,13.940000000000001,16.665,56.99999999999999,12.998000000000001,0.1076923076923077,1,1,1,Weekend / holiday,Evening commute,Mild (10-20C),1,-0.006700000000000039,-0.9659258262890683,-0.25881904510252063,0.0,1.0
42,2011-01-02,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,Winter,Mist / Cloudy,Cloudy / mist,Sunday,Jan,2011-01-02 18:00:00,2011,14.76,16.665,46.0,22.0028,0.18867924528301888,1,1,1,Weekend / holiday,Evening commute,Mild (10-20C),2,-0.0267,-1.0,-1.8369701987210297e-16,0.0,1.0
43,2011-01-02,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,Winter,Clear / Few clouds,Clear,Sunday,Jan,2011-01-02 19:00:00,2011,13.120000000000001,14.395,42.0,30.002599999999997,0.03333333333333333,1,0,1,Weekend / holiday,Evening commute,Mild (10-20C),1,-0.03210000000000002,-0.9659258262890684,0.2588190451025203,0.0,1.0
44,2011-01-02,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,Winter,Clear / Few clouds,Clear,Sunday,Jan,2011-01-02 20:00:00,2011,12.299999999999999,13.635,39.0,23.9994,0.22727272727272727,1,0,0,Weekend / holiday,Late evening,Mild (10-20C),1,-0.02729999999999999,-0.8660254037844386,0.5000000000000001,0.0,1.0
45,2011-01-02,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,Winter,Clear / Few clouds,Clear,Sunday,Jan,2011-01-02 21:00:00,2011,10.66,11.365,44.0,22.0028,0.3548387096774194,1,0,0,Weekend / holiday,Late evening,Mild (10-20C),1,-0.03270000000000001,-0.7071067811865477,0.7071067811865474,0.0,1.0
46,2011-01-02,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,Winter,Clear / Few clouds,Clear,Sunday,Jan,2011-01-02 22:00:00,2011,9.84,10.605,44.0,19.999499999999998,0.0,1,0,0,Weekend / holiday,Late evening,Cold (<10C),1,-0.02789999999999998,-0.5000000000000004,0.8660254037844384,0.0,1.0
47,2011-01-02,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,Winter,Clear / Few clouds,Clear,Sunday,Jan,2011-01-02 23:00:00,2011,9.02,11.365,47.0,11.0014,0.0,1,0,0,Weekend / holiday,Late evening,Cold (<10C),1,0.007300000000000001,-0.25881904510252157,0.9659258262890681,0.0,1.0
48,2011-01-03,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5,Winter,Clear / Few clouds,Clear,Monday,Jan,2011-01-03 00:00:00,2011,9.02,9.85,44.0,23.9994,0.0,0,0,0,Working day,Overnight,Cold (<10C),1,-0.022999999999999993,0.0,1.0,0.0,1.0
49,2011-01-03,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,Winter,Clear / Few clouds,Clear,Monday,Jan,2011-01-03 01:00:00,2011,8.200000000000001,8.334999999999999,44.0,27.999299999999998,0.0,0,0,0,Working day,Overnight,Cold (<10C),1,-0.033300000000000024,0.25881904510252074,0.9659258262890683,0.0,1.0
50,2011-01-03,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1,Winter,Clear / Few clouds,Clear,Monday,Jan,2011-01-03 04:00:00,2011,6.5600000000000005,6.819999999999999,47.0,26.0027,0.0,0,0,0,Working day,Overnight,Cold (<10C),1,-0.02360000000000001,0.8660254037844386,0.5000000000000001,0.0,1.0
51,2011-01-03,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,Winter,Clear / Few clouds,Clear,Monday,Jan,2011-01-03 05:00:00,2011,6.5600000000000005,6.819999999999999,47.0,19.0012,0.0,0,0,0,Working day,Overnight,Cold (<10C),1,-0.02360000000000001,0.9659258262890683,0.25881904510252074,0.0,1.0
52,2011-01-03,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,Winter,Clear / Few clouds,Clear,Monday,Jan,2011-01-03 06:00:00,2011,5.74,5.305,50.0,26.0027,0.0,0,0,1,Working day,Morning commute,Cold (<10C),1,-0.03390000000000001,1.0,6.123233995736766e-17,0.0,1.0
53,2011-01-03,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64,Winter,Clear / Few clouds,Clear,Monday,Jan,2011-01-03 07:00:00,2011,5.74,6.819999999999999,50.0,12.998000000000001,0.015625,0,1,1,Working day,Morning commute,Cold (<10C),1,-0.00360000000000002,0.9659258262890683,-0.25881904510252063,0.0,1.0
54,2011-01-03,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,Winter,Clear / Few clouds,Clear,Monday,Jan,2011-01-03 08:00:00,2011,5.74,6.0600000000000005,50.0,19.0012,0.006493506493506494,0,1,1,Working day,Morning commute,Cold (<10C),1,-0.01880000000000001,0.8660254037844387,-0.4999999999999998,0.0,1.0
55,2011-01-03,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,Winter,Clear / Few clouds,Clear,Monday,Jan,2011-01-03 09:00:00,2011,6.5600000000000005,6.819999999999999,43.0,26.0027,0.07954545454545454,0,1,1,Working day,Morning commute,Cold (<10C),1,-0.02360000000000001,0.7071067811865476,-0.7071067811865475,0.0,1.0
56,2011-01-03,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,Winter,Clear / Few clouds,Clear,Monday,Jan,2011-01-03 10:00:00,2011,7.38,8.334999999999999,43.0,16.997899999999998,0.25,0,0,0,Working day,Midday,Cold (<10C),1,-0.013300000000000006,0.49999999999999994,-0.8660254037844387,0.0,1.0
57,2011-01-03,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,Winter,Clear / Few clouds,Clear,Monday,Jan,2011-01-03 11:00:00,2011,8.200000000000001,9.09,40.0,22.0028,0.19607843137254902,0,0,0,Working day,Midday,Cold (<10C),1,-0.01820000000000002,0.258819045102521,-0.9659258262890682,0.0,1.0
58,2011-01-03,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,Winter,Clear / Few clouds,Clear,Monday,Jan,2011-01-03 12:00:00,2011,9.02,10.605,35.0,19.999499999999998,0.21311475409836064,0,0,0,Working day,Midday,Cold (<10C),1,-0.00789999999999999,1.2246467991473532e-16,-1.0,0.0,1.0
59,2011-01-03,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,Winter,Clear / Few clouds,Clear,Monday,Jan,2011-01-03 13:00:00,2011,9.84,10.605,35.0,19.0012,0.13114754098360656,0,0,0,Working day,Midday,Cold (<10C),1,-0.02789999999999998,-0.2588190451025208,-0.9659258262890683,0.0,1.0
60,2011-01-03,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,Winter,Clear / Few clouds,Clear,Monday,Jan,2011-01-03 14:00:00,2011,10.66,12.120000000000001,30.0,19.0012,0.14285714285714285,0,0,0,Working day,Midday,Mild (10-20C),1,-0.017600000000000005,-0.4999999999999997,-0.8660254037844388,0.0,1.0
61,2011-01-03,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,Winter,Clear / Few clouds,Clear,Monday,Jan,2011-01-03 15:00:00,2011,10.66,12.120000000000001,30.0,16.997899999999998,0.19444444444444445,0,0,0,Working day,Midday,Mild (10-20C),1,-0.017600000000000005,-0.7071067811865471,-0.7071067811865479,0.0,1.0
62,2011-01-03,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,Winter,Clear / Few clouds,Clear,Monday,Jan,2011-01-03 16:00:00,2011,10.66,12.120000000000001,30.0,16.997899999999998,0.11842105263157894,0,1,1,Working day,Evening commute,Mild (10-20C),1,-0.017600000000000005,-0.8660254037844385,-0.5000000000000004,0.0,1.0
63,2011-01-03,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,Winter,Clear / Few clouds,Clear,Monday,Jan,2011-01-03 17:00:00,2011,9.84,11.365,30.0,15.001299999999999,0.07006369426751592,0,1,1,Working day,Evening commute,Cold (<10C),1,-0.012699999999999989,-0.9659258262890683,-0.25881904510252063,0.0,1.0
64,2011-01-03,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,Winter,Clear / Few clouds,Clear,Monday,Jan,2011-01-03 18:00:00,2011,9.84,12.879999999999999,32.0,7.0015,0.05732484076433121,0,1,1,Working day,Evening commute,Cold (<10C),1,0.017600000000000005,-1.0,-1.8369701987210297e-16,0.0,1.0
65,2011-01-03,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,8,102,110,Winter,Clear / Few clouds,Clear,Monday,Jan,2011-01-03 19:00:00,2011,8.200000000000001,12.879999999999999,47.0,0.0,0.07272727272727272,0,0,1,Working day,Evening commute,Cold (<10C),1,0.057599999999999985,-0.9659258262890684,0.2588190451025203,0.0,1.0
66,2011-01-03,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,Winter,Clear / Few clouds,Clear,Monday,Jan,2011-01-03 20:00:00,2011,8.200000000000001,11.365,47.0,7.0015,0.057692307692307696,0,0,0,Working day,Late evening,Cold (<10C),1,0.02729999999999999,-0.8660254037844386,0.5000000000000001,0.0,1.0
67,2011-01-03,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,Winter,Clear / Few clouds,Clear,Monday,Jan,2011-01-03 21:00:00,2011,7.38,9.85,64.0,8.9981,0.057692307692307696,0,0,0,Working day,Late evening,Cold (<10C),1,0.017000000000000015,-0.7071067811865477,0.7071067811865474,0.0,1.0
68,2011-01-03,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,Winter,Clear / Few clouds,Clear,Monday,Jan,2011-01-03 22:00:00,2011,5.74,7.575,69.0,8.9981,0.0,0,0,0,Working day,Late evening,Cold (<10C),1,0.011499999999999982,-0.5000000000000004,0.8660254037844384,0.0,1.0
69,2011-01-03,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,Winter,Clear / Few clouds,Clear,Monday,Jan,2011-01-03 23:00:00,2011,7.38,10.605,55.00000000000001,7.0015,0.08333333333333333,0,0,0,Working day,Late evening,Cold (<10C),1,0.03210000000000002,-0.25881904510252157,0.9659258262890681,0.0,1.0
70,2011-01-04,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,Winter,Clear / Few clouds,Clear,Tuesday,Jan,2011-01-04 00:00:00,2011,6.5600000000000005,9.09,55.00000000000001,7.0015,0.0,0,0,0,Working day,Overnight,Cold (<10C),1,0.021799999999999986,0.0,1.0,0.0,1.0
71,2011-01-04,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,Winter,Clear / Few clouds,Clear,Tuesday,Jan,2011-01-04 01:00:00,2011,6.5600000000000005,9.09,59.0,7.0015,0.0,0,0,0,Working day,Overnight,Cold (<10C),1,0.021799999999999986,0.25881904510252074,0.9659258262890683,0.0,1.0
72,2011-01-04,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,Winter,Clear / Few clouds,Clear,Tuesday,Jan,2011-01-04 02:00:00,2011,5.74,7.575,63.0,8.9981,0.0,0,0,0,Working day,Overnight,Cold (<10C),1,0.011499999999999982,0.49999999999999994,0.8660254037844387,0.0,1.0
73,2011-01-04,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,Winter,Clear / Few clouds,Clear,Tuesday,Jan,2011-01-04 04:00:00,2011,5.74,9.09,63.0,6.0032,0.0,0,0,0,Working day,Overnight,Cold (<10C),1,0.041799999999999976,0.8660254037844386,0.5000000000000001,0.0,1.0
